model,vars,S,rel(S),Act,choices,*-opt,random,Unnamed: 8,max_depth,depth,best,best relative,time (best),time (all),tree depth,tree nodes,|M|,F,Fs=,F?,H?,H+,dtcontrol nodes,dtcontrol depth,dtcontrol time,omdt time,omdt best,omdt bound,omdt depth,omdt nodes,omdt time (best)
maze-7,9,2039,100.0,5,10195,5.1796,1.2183,,1,1,1.9469,0.1839,3.66,8.17,1,1,18900,275,19,256,85,6,280,14,00:00:00.139,143.21566939353943,1.946872501,1.946885202,1,1,105
maze-7,9,2039,100.0,5,10195,5.1796,1.2183,,2,2,3.2506,0.513,11.12,1070.13,2,3,1.00E+11,29556,4589,24967,6426,6,280,14,00:00:00.139,1201.7878086566925,2.597534551,5.179579947,2,3,335
maze-7,9,2039,100.0,5,10195,5.1796,1.2183,,3,3,3.9167,0.6812,814.46,1200.18,3,7,1.00E+25,17425,2510,14915,3516,10,280,14,00:00:00.139,1202.842232465744,2.820471547,5.179580289,3,6,472
maze-7,9,2039,100.0,5,10195,5.1796,1.2183,,4,4,4.0824,0.723,382.05,1200.25,4,6,1.00E+54,6282,1375,4907,928,7,280,14,00:00:00.139,1204.9964108467102,2.054364695,5.179578906,4,10,936
maze-7,9,2039,100.0,5,10195,5.1796,1.2183,,5,5,4.1511,0.7404,745.91,1200.62,5,8,1.00E+111,1929,341,1588,411,6,280,14,00:00:00.139,1209.611742019653,2.236610829,5.179579236,5,18,1175
maze-7,9,2039,100.0,5,10195,5.1796,1.2183,,6,6,4.2316,0.7607,1099.08,1201.02,6,12,1.00E+226,645,167,478,74,7,280,14,00:00:00.139,1219.473370552063,1.456646614,5.179579206,5,22,1020
maze-7,9,2039,100.0,5,10195,5.1796,1.2183,,7,7,4.1621,0.7431,904.97,1203.51,7,14,1e455,293,116,177,24,3,280,14,00:00:00.139,1240.3473815917969,1.248480022,5.179579264,7,46,943
maze-7,9,2039,100.0,5,10195,5.1796,1.2183,,8,8,4.1366,0.7367,298.61,1204.8,5,7,1e912,168,72,96,21,0,280,14,00:00:00.139,1285.2664651870728,1.218305981,53000.0,0,0,64
maze-steps,5,198,99.49,5,990,-17.1595,-74.9548,,1,1,-63.2248,0.203,0.32,0.95,1,1,4375,336,33,303,94,4,94,11,00:00:00.040,4.170780658721924,-63.2248599,-63.22485152,1,1,3
maze-steps,5,198,99.49,5,990,-17.1595,-74.9548,,2,2,-24.5559,0.872,1.12,19.58,2,3,1.00E+09,4635,1042,3593,732,5,94,11,00:00:00.040,156.92337369918823,-24.55591324,-24.55584546,2,3,156
maze-steps,5,198,99.49,5,990,-17.1595,-74.9548,,3,3,-19.9697,0.9514,272.7,1200.05,3,7,1.00E+21,164465,42068,122397,20166,13,94,11,00:00:00.040,1200.265240430832,-19.9896074,-17.15948306,3,7,776
maze-steps,5,198,99.49,5,990,-17.1595,-74.9548,,4,4,-19.6757,0.9565,389.12,1200.08,4,10,1.00E+44,61609,17740,43869,4870,3,94,11,00:00:00.040,1200.4465336799622,-19.74331086,-17.15948869,4,11,479
maze-steps,5,198,99.49,5,990,-17.1595,-74.9548,,5,5,-18.418,0.9782,360.41,1200.08,5,14,1.00E+91,28474,8909,19565,1433,4,94,11,00:00:00.040,1200.8884890079498,-17.23205928,-17.1594912,5,29,560
maze-steps,5,198,99.49,5,990,-17.1595,-74.9548,,6,6,-18.4145,0.9783,603.36,1200.14,6,16,1.00E+186,12556,3523,9033,977,2,94,11,00:00:00.040,1201.8049137592316,-18.33762936,-17.15949094,6,33,1178
maze-steps,5,198,99.49,5,990,-17.1595,-74.9548,,7,7,-18.4145,0.9783,503.32,1200.1,6,18,1e374,5915,1773,4142,331,0,94,11,00:00:00.040,1203.769552707672,-17.19414963,-17.15949223,7,48,1112
maze-steps,5,198,99.49,5,990,-17.1595,-74.9548,,8,8,-18.3671,0.9791,1155.28,1200.75,7,36,1e750,2322,836,1486,24,4,94,11,00:00:00.040,1207.8780765533447,-17.52121581,-17.15949125,8,55,1199
3d_navigation,3,125,100.0,7,875,0.3518,0.0,,1,1,0.0,0.0,0.02,0.34,0,0,9408,180,20,160,44,0,6,4,00:00:00.003,4.434620141983032,6.02e-06,6.03e-06,1,1,4
3d_navigation,3,125,100.0,7,875,0.3518,0.0,,2,2,0.0207,0.0587,38.28,77.54,2,3,1.00E+10,30651,5130,25521,6756,5,6,4,00:00:00.003,102.4504373073578,0.02066641875,0.02066642863,2,3,35
3d_navigation,3,125,100.0,7,875,0.3518,0.0,,3,3,0.3518,1.0,87.21,87.26,3,7,1.00E+22,2604,543,2061,424,0,6,4,00:00:00.003,68.71969771385193,0.3518545977,0.3518546075,3,6,68
3d_navigation,3,125,100.0,7,875,0.3518,0.0,,4,3,0.3518,1.0,87.15,87.21,3,7,1.00E+22,2604,543,2061,424,0,6,4,00:00:00.003,42.90411591529846,0.3518545977,0.3518547724,4,11,42
3d_navigation,3,125,100.0,7,875,0.3518,0.0,,5,3,0.3518,1.0,86.95,87.01,3,7,1.00E+22,2604,543,2061,424,0,6,4,00:00:00.003,83.39805459976196,0.3518545977,0.3518546075,5,17,82
3d_navigation,3,125,100.0,7,875,0.3518,0.0,,6,3,0.3518,1.0,86.83,86.88,3,7,1.00E+22,2604,543,2061,424,0,6,4,00:00:00.003,83.4867639541626,0.3518545977,0.3518546075,6,28,82
3d_navigation,3,125,100.0,7,875,0.3518,0.0,,7,3,0.3518,1.0,86.68,86.73,3,7,1.00E+22,2604,543,2061,424,0,6,4,00:00:00.003,236.2559311389923,0.3518545977,0.3518546075,6,17,233
3d_navigation,3,125,100.0,7,875,0.3518,0.0,,8,3,0.3518,1.0,84.77,84.82,3,7,1.00E+22,2604,543,2061,424,0,6,4,00:00:00.003,156.15890216827393,0.3518545977,0.3518546075,8,33,149
blackjack,3,533,100.0,3,1599,-2.1732,-11.732,,1,1,-2.3526,0.9812,0.16,0.83,1,1,10773,116,29,87,16,1,8,7,00:00:00.008,5.838810205459595,-2.35261631,-2.352616319,1,1,5
blackjack,3,533,100.0,3,1599,-2.1732,-11.732,,2,2,-2.2053,0.9966,23.91,38.16,2,3,1.00E+11,3040,947,2093,292,1,8,7,00:00:00.008,14.729341506958008,-2.205271497,-2.205271507,2,3,12
blackjack,3,533,100.0,3,1599,-2.1732,-11.732,,3,3,-2.2053,0.9966,23.94,1200.07,2,3,1.00E+25,61187,22176,39011,3432,0,8,7,00:00:00.008,144.20603132247925,-2.173208583,-2.173208593,3,7,143
blackjack,3,533,100.0,3,1599,-2.1732,-11.732,,4,4,-2.1732,1.0,196.06,237.87,4,9,1.00E+53,1162,450,712,12,0,8,7,00:00:00.008,169.2039279937744,-2.173208583,-2.173208593,4,13,168
blackjack,3,533,100.0,3,1599,-2.1732,-11.732,,5,4,-2.1732,1.0,165.79,208.61,4,9,1.00E+53,1162,450,712,12,0,8,7,00:00:00.008,445.1478090286255,-2.173208583,-2.173208593,5,12,443
blackjack,3,533,100.0,3,1599,-2.1732,-11.732,,6,4,-2.1732,1.0,146.73,189.9,4,9,1.00E+53,1162,450,712,12,0,8,7,00:00:00.008,1110.492715358734,-2.173208583,-2.173208593,6,21,1106
blackjack,3,533,100.0,3,1599,-2.1732,-11.732,,7,4,-2.1732,1.0,131.29,173.86,4,9,1.00E+53,1162,450,712,12,0,8,7,00:00:00.008,1207.7864158153534,-2.35261631,-2.173208593,6,24,960
blackjack,3,533,100.0,3,1599,-2.1732,-11.732,,8,4,-2.1732,1.0,120.57,163.0,4,9,1.00E+53,1162,450,712,12,0,8,7,00:00:00.008,1216.0765008926392,-2.185934241,-2.173208593,8,33,877
frozenlake_4x4,2,16,68.75,5,80,0.542,0.0124,,1,1,0.1104,0.1851,0.08,0.2,1,1,450,159,20,139,42,2,8,5,00:00:00.003,0.1871562004089355,0.110398307,0.1103983077,1,1,0
frozenlake_4x4,2,16,68.75,5,80,0.542,0.0124,,2,2,0.3652,0.6661,0.42,0.48,2,3,1.00E+06,207,64,143,17,0,8,5,00:00:00.003,0.2304232120513916,0.3651665126,0.3651665144,2,3,0
frozenlake_4x4,2,16,68.75,5,80,0.542,0.0124,,3,3,0.5201,0.9586,0.56,186.88,3,5,1.00E+14,82945,33634,49311,505,0,8,5,00:00:00.003,0.5245609283447266,0.5201247567,0.5201248228,3,6,0
frozenlake_4x4,2,16,68.75,5,80,0.542,0.0124,,4,4,0.542,1.0,150.47,150.53,4,7,1.00E+30,2,0,2,0,0,8,5,00:00:00.003,0.6434147357940674,0.5420259289,0.5420259305,4,11,0
frozenlake_4x4,2,16,68.75,5,80,0.542,0.0124,,5,4,0.542,1.0,120.47,120.52,4,7,1.00E+30,2,0,2,0,0,8,5,00:00:00.003,0.4274251461029053,0.5420259289,0.5420259305,5,11,0
frozenlake_4x4,2,16,68.75,5,80,0.542,0.0124,,6,4,0.542,1.0,100.47,100.52,4,7,1.00E+30,2,0,2,0,0,8,5,00:00:00.003,1.586017370223999,0.5420259289,0.5420259305,6,15,1
frozenlake_4x4,2,16,68.75,5,80,0.542,0.0124,,7,4,0.542,1.0,86.18,86.24,4,7,1.00E+30,2,0,2,0,0,8,5,00:00:00.003,2.693990468978882,0.5420259289,0.5420260989,6,15,2
frozenlake_4x4,2,16,68.75,5,80,0.542,0.0124,,8,4,0.542,1.0,75.47,75.52,4,7,1.00E+30,2,0,2,0,0,8,5,00:00:00.003,4.46832013130188,0.5420259289,0.5420259305,8,19,3
frozenlake_8x8,2,64,82.81,5,320,0.4146,0.0011,,1,1,0.3069,0.7394,0.04,0.17,1,1,2450,86,11,75,24,5,35,8,00:00:00.015,0.492549180984497,0.3068709783,0.3068709833,1,1,0
frozenlake_8x8,2,64,82.81,5,320,0.4146,0.0011,,2,2,0.387,0.9332,0.94,2.64,2,3,1.00E+08,1130,303,827,182,2,35,8,00:00:00.015,3.5893261432647705,0.3870225907,0.3870229822,2,3,3
frozenlake_8x8,2,64,82.81,5,320,0.4146,0.0011,,3,3,0.3918,0.9447,904.19,1200.05,3,6,1.00E+19,337112,110117,226995,40380,3,35,8,00:00:00.015,12.109742164611816,0.3926846767,0.3926975064,3,6,11
frozenlake_8x8,2,64,82.81,5,320,0.4146,0.0011,,4,4,0.3959,0.9546,153.24,1200.07,4,8,1.00E+41,161805,57871,103934,9236,0,35,8,00:00:00.015,1200.1686449050903,0.4047314541,0.4085801156,4,14,535
frozenlake_8x8,2,64,82.81,5,320,0.4146,0.0011,,5,5,0.3969,0.9572,244.18,1200.07,5,10,1.00E+84,74322,27180,47142,4553,0,35,8,00:00:00.015,1200.2857778072355,0.4145179601,0.4146403591,5,28,1166
frozenlake_8x8,2,64,82.81,5,320,0.4146,0.0011,,6,6,0.4146,1.0,958.05,958.19,6,31,1.00E+170,32619,10692,21927,2151,0,35,8,00:00:00.015,143.67843866348267,0.4146187079,0.4146403591,6,37,143
frozenlake_8x8,2,64,82.81,5,320,0.4146,0.0011,,7,7,0.4146,1.0,499.37,499.48,7,30,1e342,3143,1012,2131,216,0,35,8,00:00:00.015,148.0975444316864,0.4146403578,0.4146403591,7,44,146
frozenlake_8x8,2,64,82.81,5,320,0.4146,0.0011,,8,8,0.4146,1.0,387.7,387.83,7,30,1e686,101,34,67,5,0,35,8,00:00:00.015,309.0281250476837,0.4146403578,0.4146403591,8,53,306
frozenlake_12x12,2,144,87.5,5,720,0.3487,0.0002,,1,1,0.0207,0.0588,0.61,1.26,1,1,6050,623,48,575,209,8,67,11,00:00:00.035,2.419016122817993,0.02065979527,0.02065979961,1,1,1
frozenlake_12x12,2,144,87.5,5,720,0.3487,0.0002,,2,2,0.1177,0.3371,18.36,79.16,2,3,1.00E+09,26567,4629,21938,6178,6,67,11,00:00:00.035,221.11627888679504,0.1176700177,0.1176700253,2,3,106
frozenlake_12x12,2,144,87.5,5,720,0.3487,0.0002,,3,3,0.131,0.3753,214.06,1200.06,3,7,1.00E+22,185075,51795,133280,23258,1,67,11,00:00:00.035,1200.1948421001434,0.238707454,0.3486651695,3,6,1158
frozenlake_12x12,2,144,87.5,5,720,0.3487,0.0002,,4,4,0.201,0.5763,804.22,1200.08,4,13,1.00E+46,96621,29333,67288,9021,2,67,11,00:00:00.035,1200.337106466293,0.2757559312,0.3487237168,4,14,800
frozenlake_12x12,2,144,87.5,5,720,0.3487,0.0002,,5,5,0.284,0.8142,326.21,1200.1,5,14,1.00E+96,41069,14771,26298,2251,0,67,11,00:00:00.035,1200.6357140541077,0.3053871031,0.3487237168,5,20,1166
frozenlake_12x12,2,144,87.5,5,720,0.3487,0.0002,,6,6,0.3049,0.8742,1150.44,1200.21,6,25,1.00E+194,15419,5491,9928,940,3,67,11,00:00:00.035,1201.3203699588776,0.3071070773,0.3487237168,6,32,1192
frozenlake_12x12,2,144,87.5,5,720,0.3487,0.0002,,7,7,0.3005,0.8615,520.89,1200.14,6,20,1e392,14128,4832,9296,746,0,67,11,00:00:00.035,1202.7079615592957,0.3010193082,0.3487237168,7,33,1196
frozenlake_12x12,2,144,87.5,5,720,0.3487,0.0002,,8,8,0.3046,0.8736,932.43,1200.21,6,26,1e786,5709,1893,3816,372,0,67,11,00:00:00.035,1205.767050743103,0.3050695243,0.3487237168,8,53,1170
inventory_management,1,101,100.0,101,10201,967.8227,-960.241,,1,1,955.2716,0.9935,3.99,7.26,1,1,1.00E+06,22,3,19,4,2,14,6,00:00:00.012,151.57791113853455,955.3381979,955.3471857,1,1,121
inventory_management,1,101,100.0,101,10201,967.8227,-960.241,,2,2,966.0764,0.9991,25.57,58.36,2,3,1.00E+14,232,59,173,28,0,14,6,00:00:00.012,1212.670090675354,966.1477461,967.8976271,2,3,602
inventory_management,1,101,100.0,101,10201,967.8227,-960.241,,3,3,967.7712,1.0,744.73,745.14,3,7,1.00E+30,3041,1197,1844,8,0,14,6,00:00:00.012,1213.4269909858704,966.8791445,967.8976271,3,6,1192
inventory_management,1,101,100.0,101,10201,967.8227,-960.241,,4,3,967.6131,0.9999,62.84,208.69,3,6,1.00E+30,676,268,408,6,0,14,6,00:00:00.012,465.82590532302856,967.8666547,967.8976271,4,9,450
inventory_management,1,101,100.0,101,10201,967.8227,-960.241,,5,3,967.6131,0.9999,62.8,178.67,3,6,1.00E+30,544,216,328,5,0,14,6,00:00:00.012,1218.7800540924072,967.3221125,967.8976271,5,12,545
inventory_management,1,101,100.0,101,10201,967.8227,-960.241,,6,3,967.6131,0.9999,62.77,158.56,3,6,1.00E+30,455,180,275,5,0,14,6,00:00:00.012,1226.6681802272797,967.6203348,967.8976271,6,19,8
inventory_management,1,101,100.0,101,10201,967.8227,-960.241,,7,3,967.6131,0.9999,62.86,144.34,3,6,1.00E+30,388,151,237,5,0,14,6,00:00:00.012,1243.5840146541595,966.0977032,967.8976271,5,15,17
inventory_management,1,101,100.0,101,10201,967.8227,-960.241,,8,3,967.6131,0.9999,62.78,133.78,3,6,1.00E+30,341,132,209,5,0,14,6,00:00:00.012,1280.864137649536,965.9990591,967.8976271,6,19,1149
system_administrator_1,8,256,100.0,10,2560,223.9561,98.8933,,1,1,203.4027,0.8357,0.32,5.17,0,0,800,112,8,104,29,0,76,8,00:00:00.029,37.274192571640015,203.4167466,203.4167466,0,0,15
system_administrator_1,8,256,100.0,10,2560,223.9561,98.8933,,2,2,209.9347,0.8879,66.39,849.59,2,2,1.00E+06,19848,1070,18778,5761,4,76,8,00:00:00.029,887.3843176364899,209.9487522,209.9507201,2,3,874
system_administrator_1,8,256,100.0,10,2560,223.9561,98.8933,,3,3,210.4755,0.8922,538.79,1200.06,3,3,1.00E+14,23420,1002,22418,6984,2,76,8,00:00:00.029,1202.8348922729492,212.096542,223.9700971,3,7,1200
system_administrator_1,8,256,100.0,10,2560,223.9561,98.8933,,4,4,212.8986,0.9116,620.09,1200.1,4,8,1.00E+29,21014,3652,17362,3522,4,76,8,00:00:00.029,1203.08647441864,212.7379466,223.9700972,4,7,857
system_administrator_1,8,256,100.0,10,2560,223.9561,98.8933,,5,5,212.5772,0.909,308.11,1200.16,4,7,1.00E+59,11181,1424,9757,2368,0,76,8,00:00:00.029,1204.1304540634155,213.8327939,223.9700971,5,14,1169
system_administrator_1,8,256,100.0,10,2560,223.9561,98.8933,,6,6,212.5772,0.909,268.66,1200.28,4,7,1.00E+120,6336,1827,4509,353,0,76,8,00:00:00.029,1206.180891275406,213.9108241,223.9700972,6,41,1194
system_administrator_1,8,256,100.0,10,2560,223.9561,98.8933,,7,7,212.5772,0.909,241.28,1200.11,4,7,1.00E+242,3579,1092,2487,144,0,76,8,00:00:00.029,1210.7462356090546,214.9466197,223.9700972,7,36,4
system_administrator_1,8,256,100.0,10,2560,223.9561,98.8933,,8,8,213.6558,0.9176,1095.16,1201.5,8,49,1e486,541,167,374,33,1,76,8,00:00:00.029,1220.6554300785065,202.9294058,223.9700972,8,20,1165
system_administrator_2,8,256,100.0,10,2560,241.1455,111.6115,,1,1,146.6464,0.2705,4.91,16.97,1,1,800,236,6,230,74,3,41,8,00:00:00.017,233.6651012897492,146.6526731,146.6526731,1,1,157
system_administrator_2,8,256,100.0,10,2560,241.1455,111.6115,,2,2,182.81,0.5497,428.0,1200.1,2,2,1.00E+06,25771,717,25054,8319,5,41,8,00:00:00.017,1205.1671724319458,182.8170736,241.1535644,2,3,606
system_administrator_2,8,256,100.0,10,2560,241.1455,111.6115,,3,3,176.4251,0.5004,670.98,1200.09,3,5,1.00E+14,23838,678,23160,7336,4,41,8,00:00:00.017,1205.0897183418274,190.9166062,241.1535641,3,6,1030
system_administrator_2,8,256,100.0,10,2560,241.1455,111.6115,,4,4,176.0062,0.4971,183.72,1200.09,3,5,1.00E+29,17414,992,16422,4877,0,41,8,00:00:00.017,1205.5701477527618,187.8984721,241.1535637,4,9,1193
system_administrator_2,8,256,100.0,10,2560,241.1455,111.6115,,5,5,176.0062,0.4971,153.84,1200.1,3,5,1.00E+59,9385,606,8779,3182,0,41,8,00:00:00.017,1206.482416391373,203.2565727,241.1535637,5,17,953
system_administrator_2,8,256,100.0,10,2560,241.1455,111.6115,,6,6,176.0062,0.4971,133.67,1200.06,3,5,1.00E+120,6402,334,6068,1861,0,41,8,00:00:00.017,1209.0159585475922,196.4749047,241.1535637,6,28,1183
system_administrator_2,8,256,100.0,10,2560,241.1455,111.6115,,7,7,176.0062,0.4971,119.55,1200.69,3,5,1.00E+242,2837,607,2230,390,0,41,8,00:00:00.017,1213.206619501114,164.2873996,241.1535644,7,46,1197
system_administrator_2,8,256,100.0,10,2560,241.1455,111.6115,,8,8,180.8032,0.5342,638.76,1200.74,8,42,1e486,1665,468,1197,128,0,41,8,00:00:00.017,1222.713074207306,98.92101311,241.153564,0,0,8
system_administrator_tree,7,128,100.0,9,1152,557.693,332.2623,,1,1,377.9102,0.2025,0.57,4.58,1,1,567,479,12,467,147,1,12,7,00:00:00.006,27.657521963119507,377.933134,377.933134,1,1,18
system_administrator_tree,7,128,100.0,9,1152,557.693,332.2623,,2,2,438.9329,0.4732,58.89,784.99,2,3,1.00E+06,80570,6250,74320,20606,0,12,7,00:00:00.006,1200.6092128753662,433.8170864,496.8390392,2,3,1196
system_administrator_tree,7,128,100.0,9,1152,557.693,332.2623,,3,3,461.7553,0.5744,335.71,1200.08,3,5,1.00E+13,69762,8578,61184,14683,0,12,7,00:00:00.006,1200.6962714195251,467.7392011,557.7247113,3,7,466
