model,max_depth,omdt time,omdt best,omdt bound,omdt depth,omdt nodes
3d_navigation,1,4.434620141983032,6.015608494278791e-06,6.025459502563179e-06,1,1
3d_navigation,2,102.45043730735779,0.02066641874530289,0.02066642863130449,2,3
3d_navigation,3,68.71969771385193,0.35185459773077843,0.3518546075461676,3,6
3d_navigation,4,42.90411591529846,0.35185459773077843,0.3518547724430858,4,11
3d_navigation,5,83.39805459976196,0.35185459773077843,0.3518546075461697,5,17
3d_navigation,6,83.4867639541626,0.35185459773077843,0.3518546075461676,6,28
3d_navigation,7,236.2559311389923,0.35185459773077843,0.3518546075461695,6,17
3d_navigation,8,156.15890216827393,0.35185459773077843,0.3518546075461676,8,33
blackjack,1,5.838810205459595,-2.3526163095781647,-2.3526163194386696,1,1
blackjack,2,14.729341506958008,-2.2052714974629852,-2.20527150726744,2,3
blackjack,3,144.20603132247925,-2.1732085833118164,-2.1732085931596337,3,7
blackjack,4,169.2039279937744,-2.1732085833118164,-2.173208593159626,4,13
blackjack,5,445.1478090286255,-2.1732085833118164,-2.173208593159629,5,12
blackjack,6,1110.4927153587341,-2.1732085833118164,-2.1732085931596217,6,21
blackjack,7,1207.7864158153534,-2.3526163095781647,-2.173208593159659,6,24
blackjack,8,1216.0765008926392,-2.185934240937947,-2.173208593159659,8,33
frozenlake_4x4,1,0.18715620040893555,0.11039830703323059,0.11039830765513763,1,1
frozenlake_4x4,2,0.2304232120513916,0.3651665125572824,0.36516651443791465,2,3
frozenlake_4x4,3,0.5245609283447266,0.5201247566883449,0.5201248227986334,3,6
frozenlake_4x4,4,0.6434147357940674,0.542025928910373,0.5420259305406874,4,11
frozenlake_4x4,5,0.4274251461029053,0.542025928910373,0.5420259305406873,5,11
frozenlake_4x4,6,1.586017370223999,0.542025928910373,0.5420259305406874,6,15
frozenlake_4x4,7,2.693990468978882,0.542025928910373,0.5420260988761099,6,15
frozenlake_4x4,8,4.46832013130188,0.542025928910373,0.5420259305406872,8,19
frozenlake_8x8,1,0.49254918098449707,0.3068709782597103,0.306870983259296,1,1
frozenlake_8x8,2,3.5893261432647705,0.3870225906561451,0.3870229821587146,2,3
frozenlake_8x8,3,12.109742164611816,0.3926846767077241,0.39269750639906736,3,6
frozenlake_8x8,4,1200.1686449050903,0.40473145414434336,0.408580115627142,4,14
frozenlake_8x8,5,1200.2857778072357,0.41451796011179515,0.41464035911623487,5,28
frozenlake_8x8,6,143.67843866348267,0.41461870793658556,0.4146403591162468,6,37
frozenlake_8x8,7,148.0975444316864,0.4146403578322277,0.4146403591162691,7,44
frozenlake_8x8,8,309.0281250476837,0.4146403578322277,0.41464035911626884,8,53
frozenlake_12x12,1,2.419016122817993,0.02065979526857013,0.020659799611383447,1,1
frozenlake_12x12,2,221.11627888679504,0.11767001770073875,0.11767002527533808,2,3
frozenlake_12x12,3,1200.1948421001434,0.23870745396548246,0.3486651695478028,3,6
frozenlake_12x12,4,1200.3371064662933,0.2757559312303773,0.34872371683748776,4,14
frozenlake_12x12,5,1200.6357140541077,0.30538710309524886,0.3487237168388523,5,20
frozenlake_12x12,6,1201.3203699588776,0.30710707725642356,0.3487237168391304,6,32
frozenlake_12x12,7,1202.7079615592957,0.30101930824498435,0.34872371683915127,7,33
frozenlake_12x12,8,1205.767050743103,0.3050695243447724,0.34872371683892944,8,53
maze-7,1,143.21566939353943,1.9468725006953767,1.9468852018047347,1,1
maze-7,2,1201.7878086566925,2.5975345512106345,5.1795799466000325,2,3
maze-7,3,1202.842232465744,2.820471547147156,5.179580289184571,3,6
maze-7,4,1204.9964108467102,2.05436469547104,5.179578905959841,4,10
maze-7,5,1209.6117420196533,2.236610829373712,5.179579236499448,5,18
maze-7,6,1219.473370552063,1.4566466136843101,5.179579205593966,5,22
maze-7,7,1240.3473815917969,1.2484800223261856,5.179579264243873,7,46
maze-7,8,1285.2664651870728,1.21830598052836,53000.0,0,0
maze-steps,1,4.170780658721924,-63.22485990073691,-63.22485151648766,1,1
maze-steps,2,156.92337369918823,-24.55591323918906,-24.555845464362722,2,3
ij-10,1,507.1263551712036,65.03449006141284,65.0345656194577,1,1
maze-steps,3,1200.265240430832,-19.989607398147072,-17.159483056664403,3,7
csma-2-4,1,1220.7171788215637,38.82811994698895,39.19103308380171,1,1
rabin-4,1,1232.4404418468475,92.25187467514228,96.05960099999992,0,0
ij-10,2,1202.1018335819244,65.04078594358351,65.53923710918387,2,3
consensus-3-32,1,1212.6434199810028,0.048474415566305926,0.09439407263400879,1,1
maze-steps,4,1200.4465336799622,-19.743310862304945,-17.15948869402516,4,11
csma-2-4,2,1171.3637161254883,39.1910330741,39.19103308390623,2,3
ij-10,3,1203.053939819336,65.03315831431902,65.5392371091921,3,4
rabin-4,2,1570.1640179157257,92.25187467514228,1193818.6510365005,0,0
consensus-3-32,2,1217.2974691390991,0.04847441914693803,0.09439407263103744,2,3
maze-steps,5,1200.8884890079498,-17.232059284546853,-17.159491204159405,5,29
ij-10,4,1205.0065970420837,65.05206544033325,65.5392371091838,4,12
csma-2-4,3,1238.185537815094,38.519389468507576,39.19103308390588,3,5
maze-steps,6,1201.8049137592316,-18.337629357039354,-17.159490939127902,6,33
rabin-4,3,1255.7510871887207,93.00511034547196,96.05960099999989,3,5
ij-10,5,1209.3512539863586,65.03449006141284,65.5392371091957,2,2
consensus-3-32,3,1226.9464960098267,0.048604061517747016,0.09439405825855855,3,5
csma-2-4,4,1265.5667879581451,39.00957651054448,39.19103308390617,4,9
maze-steps,7,1203.7695527076721,-17.194149634745536,-17.15949222656103,7,48
ij-10,6,1218.4936969280243,65.01552803056028,65.53923710919682,4,6
rabin-4,4,1285.7272641658783,91.83048037844843,96.05960099999923,4,5
csma-2-4,5,1323.4851808547974,0.38519389476613375,39.19103308390621,5,5
maze-steps,8,1207.8780765533447,-17.52121581193598,-17.159491250695645,8,55
consensus-3-32,4,1248.54701089859,0.04858577629130398,0.09439407259555252,2,2
inventory_management,1,151.57791113853455,955.3381978926927,955.3471856645263,1,1
ij-10,7,1239.323676109314,65.06681648292802,65.53923710918278,4,4
inventory_management,2,1212.670090675354,966.1477460740124,967.897627089268,2,3
rabin-4,5,1685.248485326767,92.25187467514228,1195801.010100422,0,0
csma-2-4,6,1449.4575443267822,38.82811994698895,39.19103308389904,6,28
consensus-3-32,5,1294.047967672348,0.048474415566305926,0.09439407263607368,3,3
ij-10,8,1279.9830689430237,65.03071811477032,65.5392371091794,3,5
inventory_management,3,1213.4269909858704,966.8791444874656,967.8976270892697,3,6
inventory_management,4,465.82590532302856,967.8666546950851,967.8976270858082,4,9
pnueli-zuck-3,1,1214.8819081783295,0.7421538182898006,0.9574257229215682,0,0
csma-2-4,7,1723.6680991649628,38.82811994698895,39.19103308390623,7,13
consensus-3-32,6,1394.9030013084412,0.048474415566305926,0.09439405401341572,0,0
rabin-4,6,1843.4692659378052,92.25187467514228,1195801.010100422,0,0
inventory_management,5,1218.7800540924072,967.3221124743172,967.8976270842317,5,12
pnueli-zuck-3,2,1219.0719468593597,0.6019315813626507,0.96059601,2,2
inventory_management,6,1226.6681802272797,967.6203348233421,967.8976270892667,6,19
pnueli-zuck-3,3,1227.8286101818085,0.6529678721053844,0.96059601,3,3
consensus-3-32,7,1589.2808616161346,0.048420001746908206,392.0392039203927,1,1
csma-2-4,8,2295.3771641254425,0.38212063112198585,2143.434343434339,0,0
rabin-4,7,2158.678960084915,92.25187467514228,1195801.010100422,0,0
inventory_management,7,1243.5840146541595,966.0977032242693,967.8976270888153,5,15
pnueli-zuck-3,4,1248.070315361023,0.6555683395809071,0.96059601,3,4
firewire-3,1,1207.514592885971,-70.52541927457881,-70.04494709790646,1,1
inventory_management,8,1280.8641376495361,965.9990591377525,967.8976270892679,6,19
system_administrator_1,1,37.274192571640015,203.41674655164715,203.41674656143255,0,0
pnueli-zuck-3,5,1290.4833800792694,0.6561750612279151,0.96059601,5,6
firewire-3,2,1211.5550212860107,-73.36539831394725,-70.04494709789223,2,3
consensus-3-32,8,2019.5846908092499,0.048420001746908206,392.0392039203927,1,1
system_administrator_1,2,887.3843176364899,209.9487522400746,209.9507201355646,2,3
rabin-4,8,2863.46382856369,92.25187467514228,1195801.010100422,0,0
pnueli-zuck-3,6,1385.8179099559784,0.6529678721053844,0.96059601,0,0
firewire-3,3,1220.1443791389465,-73.25362109690829,-70.04494709795397,3,5
resource-gathering-5,1,488.5817766189575,-95.1407744702398,-95.13990466988768,1,1
system_administrator_1,3,1202.8348922729492,212.09654203846586,223.970097134854,3,7
firewire-3,4,1237.8298108577728,-70.3058403598474,-70.04494709789367,4,11
pnueli-zuck-3,7,1585.8199229240417,0.6529678721053844,256581.81818179984,0,0
resource-gathering-5,2,1202.8207824230194,-85.39771384765548,-47.71054798325502,2,3
system_administrator_1,4,1203.0864744186401,212.73794660520093,223.9700971537643,4,7
firewire-3,5,1275.1807610988617,-76.21476983310568,-70.04494709789934,5,15
resource-gathering-5,3,1204.2563698291779,-98.95618657384054,-47.71054798325503,3,4
system_administrator_1,5,1204.1304540634155,213.8327939007162,223.97009714527576,5,14
pnueli-zuck-3,8,2022.5687396526337,0.6529678721053844,256581.81818179984,0,0
firewire-3,6,1352.5949075222015,-75.53722803234584,-70.04494709788847,6,34
resource-gathering-5,4,1207.877922296524,-87.6987385225273,-47.71054798325503,4,11
system_administrator_1,6,1206.1808912754059,213.91082405831298,223.97009715435578,6,41
philosophers-4,1,1223.0485169887543,88.03487595125316,95.16356531948662,0,0
resource-gathering-5,5,1215.345344543457,-91.57244946391936,-47.710547983255886,5,19
system_administrator_1,7,1210.7462356090546,214.94661971369237,223.97009716133113,7,36
firewire-3,7,1518.6629054546356,-75.34320519983766,-70.04494709788847,7,26
philosophers-4,2,1228.7024624347687,88.45266925532337,94.62307437438267,2,3
resource-gathering-5,6,1230.4043312072754,-96.7663736140458,-47.71054798325502,6,25
system_administrator_1,8,1220.6554300785065,202.92940578739814,223.97009715497842,8,20
system_administrator_2,1,233.66510128974915,146.6526730622094,146.65267307205943,1,1
philosophers-4,3,1241.7638037204742,88.60549041515604,94.86579510798335,3,5
firewire-3,8,1869.0542056560516,-78.2581615287771,-70.04494709788847,0,0
resource-gathering-5,7,1264.5883054733276,-99.91144305369963,-47.71054798325502,4,7
system_administrator_2,2,1205.1671724319458,182.81707356327922,241.1535643688891,2,3
philosophers-4,4,1296.4915866851807,88.03487595125316,95.16356531948664,0,0
resource-gathering-5,8,1336.2127764225006,-99.99999948007692,-47.710547983255005,1,1
system_administrator_2,3,1205.0897183418274,190.91660616807974,241.15356414867975,3,6
philosophers-4,5,1365.762235403061,88.03487595125316,2621833.3333321554,0,0
wlan-1-2,1,1210.8890874385834,0.03954900059776773,0.10827098374805666,1,1
system_administrator_2,4,1205.5701477527618,187.89847214854092,241.15356366923828,4,9
philosophers-4,6,1495.8941760063171,88.03487595125316,2621833.3333321554,0,0
wlan-1-2,2,1215.0410749912262,0.04457627433641574,0.10827098374814301,2,2
system_administrator_2,5,1206.4824163913727,203.25657271707377,241.15356366961734,5,17
wlan-1-2,3,1223.72483253479,0.04201439746501461,0.10827098374814301,3,6
system_administrator_2,6,1209.0159585475922,196.47490474230858,241.1535636697115,6,28
philosophers-4,7,1732.5311450958252,0.8802816139825077,2621833.3333321554,0,0
system_administrator_2,7,1213.206619501114,164.28739959945338,241.1535643633308,7,46
wlan-1-2,4,1242.7692701816559,0.038173480123536434,0.10827098374814312,0,0
system_administrator_2,8,1222.713074207306,98.9210131072249,241.15356399210452,0,0
system_administrator_tree,1,27.657521963119507,377.9331340251461,377.9331340349682,1,1
wlan-1-2,5,1282.0655653476715,0.03829941550496918,0.10827098374814215,5,23
philosophers-4,8,2341.1497373580933,0.8802816139825077,2621833.3333321554,0,0
system_administrator_tree,2,1200.6092128753662,433.8170864248241,496.8390391893161,2,3
wlan-1-2,6,1369.6521983146667,0.027387269954741562,0.10827098374814134,3,3
system_administrator_tree,3,1200.6962714195251,467.7392010508069,557.7247113347798,3,7
wlan-1-2,7,1553.2592480182648,0.02730039610596835,3503.0303030302975,7,7
system_administrator_tree,4,1200.9175391197205,536.4131408073761,557.7247113325318,4,12
system_administrator_tree,5,1201.3673360347748,516.8098926167305,557.7247113330893,5,18
wlan-1-2,8,1962.8700246810913,0.02730039610596835,3503.0303030302975,0,0
system_administrator_tree,6,1202.2737128734589,548.1366292109803,557.724711334824,6,26
system_administrator_tree,7,275.67117738723755,557.7200618218892,557.7247113345188,7,29
system_administrator_tree,8,1208.793924331665,537.7031494709221,557.7247113348418,8,28
tictactoe_vs_random,1,1202.9967510700226,-0.7553021850611481,0.9270603567184206,1,1
tictactoe_vs_random,2,1204.110027551651,0.24788362504957667,0.9734128595696818,2,3
tictactoe_vs_random,3,1206.3579885959625,-0.16304371878260876,0.9734128595696795,3,6
tictactoe_vs_random,4,1211.714751958847,-0.8380167997308825,0.9734128595696818,2,2
tictactoe_vs_random,5,1222.347608089447,-0.8149295734748085,0.9734128595696804,1,1
tictactoe_vs_random,6,1245.627794265747,-0.8149295734748085,0.9734128595696812,1,1
tictactoe_vs_random,7,1295.2916560173035,-0.8149295734748085,680.5705501510015,2,2
tictactoe_vs_random,8,1398.34592628479,-0.8149295734748085,680.5705501510015,1,1
traffic_intersection,1,14.133070468902588,-72.06684735640415,-72.06683505791119,1,1
traffic_intersection,2,115.613853931427,-0.21740124594433016,-0.2171856875249345,2,3
traffic_intersection,3,1200.6088004112244,1.004787753758199,2.1246016873858924,3,7
traffic_intersection,4,1200.8367295265198,2.114659582320901,2.1246055771434853,4,11
traffic_intersection,5,1201.3451044559479,2.1229514974057158,2.1245960403857596,5,18
traffic_intersection,6,1202.4605555534363,2.1206428469180296,2.124566698376928,6,32
traffic_intersection,7,1204.8075761795044,2.117806239264001,2.124552204802775,7,21
traffic_intersection,8,1209.8081319332123,1.9135431317882081,2.1245698833377875,7,42
